Unnamed: 0,Airlines,Sources,Destinations,Duration,Total Stops,Date,Departure Time,Arrival Time,Prices
223,Vistara,BOM,DEL,2h 15m,direct,2024-06-23,21:55,00:10+1,"₹ 4,686"
224,IndiGo,BOM,DEL,2h 05m,direct,2024-06-23,23:30,01:35+1,"₹ 4,825"
225,IndiGo,BOM,DEL,2h 10m,direct,2024-06-23,22:15,00:25+1,"₹ 4,825"
226,IndiGo,BOM,DEL,2h 20m,direct,2024-06-23,10:50,13:10,"₹ 5,770"
227,IndiGo,BOM,DEL,2h 10m,direct,2024-06-23,13:15,15:25,"₹ 6,820"
228,IndiGo,BOM,DEL,2h 10m,direct,2024-06-23,17:00,19:10,"₹ 7,205"
229,IndiGo,BOM,DEL,2h 00m,direct,2024-06-23,09:45,11:45,"₹ 7,526"
230,SpiceJet,BOM,DEL,2h 30m,direct,2024-06-23,04:00,06:30,"₹ 4,250"
231,IndiGo,BOM,DEL,2h 05m,direct,2024-06-23,01:15,03:20,"₹ 4,825"
232,IndiGo,BOM,DEL,2h 10m,direct,2024-06-23,03:00,05:10,"₹ 4,825"
233,IndiGo,BOM,DEL,2h 15m,direct,2024-06-23,04:50,07:05,"₹ 4,825"
234,Vistara,BOM,DEL,4h 05m,1 stop,2024-06-23,06:20,10:25,"₹ 4,884"
235,IndiGo,BOM,DEL,2h 10m,direct,2024-06-23,21:15,23:25,"₹ 5,140"
236,Air India,BOM,DEL,3h 40m,1 stop,2024-06-23,07:40,11:20,"₹ 6,141"
237,Air India,BOM,DEL,3h 40m,direct,2024-06-23,07:40,11:20,"₹ 6,447"
238,Vistara,BOM,DEL,2h 15m,direct,2024-06-23,17:25,19:40,"₹ 8,980"
239,IndiGo,BOM,DEL,4h 10m,1 stop,2024-06-23,02:25,06:35,"₹ 4,594"
240,IndiGo,BOM,DEL,6h 20m,1 stop,2024-06-23,16:50,23:10,"₹ 4,594"
241,IndiGo,BOM,DEL,4h 35m,1 stop,2024-06-23,04:05,08:40,"₹ 4,904"
242,IndiGo,BOM,DEL,4h 55m,1 stop,2024-06-23,06:20,11:15,"₹ 4,904"
243,IndiGo,BOM,DEL,4h 40m,1 stop,2024-06-23,08:20,13:00,"₹ 6,267"
244,IndiGo,BOM,DEL,4h 45m,1 stop,2024-06-23,18:25,23:10,"₹ 6,267"
245,Vistara,BOM,DEL,4h 25m,1 stop,2024-06-23,12:20,16:45,"₹ 6,899"
246,IndiGo,BOM,DEL,5h 00m,1 stop,2024-06-23,20:00,01:00+1,"₹ 6,965"
247,Air India,BOM,DEL,5h 10m,1 stop,2024-06-23,18:35,23:45,"₹ 7,476"
248,Air India,BOM,DEL,4h 50m,1 stop,2024-06-23,15:30,20:20,"₹ 8,727"
249,SpiceJet,BOM,DEL,2h 10m,direct,2024-06-23,06:25,08:35,"₹ 10,551"
250,IndiGo,BOM,DEL,4h 55m,1 stop,2024-06-23,02:25,07:20,"₹ 4,594"
251,IndiGo,BOM,DEL,6h 15m,1 stop,2024-06-23,02:25,08:40,"₹ 4,594"
252,IndiGo,BOM,DEL,7h 10m,1 stop,2024-06-23,04:05,11:15,"₹ 4,904"
253,IndiGo,BOM,DEL,6h 40m,1 stop,2024-06-23,06:20,13:00,"₹ 5,004"
254,IndiGo,BOM,DEL,7h 55m,1 stop,2024-06-23,15:15,23:10,"₹ 5,090"
255,IndiGo,BOM,DEL,8h 10m,1 stop,2024-06-23,16:50,01:00+1,"₹ 5,090"
256,IndiGo,BOM,DEL,7h 20m,1 stop,2024-06-23,16:05,23:25,"₹ 5,644"
257,Vistara,BOM,DEL,6h 55m,1 stop,2024-06-23,15:05,22:00,"₹ 6,043"
258,IndiGo,BOM,DEL,4h 10m,1 stop,2024-06-23,05:25,09:35,"₹ 6,267"
259,IndiGo,BOM,DEL,6h 35m,1 stop,2024-06-23,18:25,01:00+1,"₹ 6,267"
260,IndiGo,BOM,DEL,6h 50m,1 stop,2024-06-23,06:25,13:15,"₹ 6,267"
261,"Air India Express, Air India Express",BOM,DEL,6h 25m,1 stop,2024-06-23,06:55,13:20,"₹ 6,568"
262,Air India Express,BOM,DEL,6h 25m,1 stop,2024-06-23,06:55,13:20,"₹ 6,716"
263,Vistara,BOM,DEL,7h 05m,1 stop,2024-06-23,09:40,16:45,"₹ 6,973"
264,Air India,BOM,DEL,5h 55m,1 stop,2024-06-23,18:35,00:30+1,"₹ 7,323"
